               fitness_breakdown: ordering=0.153s | prefix=0.100s | score=0.009s | pop=100 

[Gen:040/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.7, max=45) | BestSensors=23 (corner=8)
[Profile Gen 040] fitness=1.673s | selection=0.000s | repro=0.930s (crossover=0.176s, mutation=0.753s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.078s | prefix=0.074s | score=0.008s | pop=100 

[Gen:041/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.7, max=45) | BestSensors=23 (corner=8)
[Profile Gen 041] fitness=1.683s | selection=0.000s | repro=1.030s (crossover=0.202s, mutation=0.827s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:042/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.6, max=45) | BestSensors=23 (corner=8)
[Profile Gen 042] fitness=1.743s | selection=0.000s | repro=1.156s (crossover=0.196s, mutation=0.959s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:043/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.6, max=45) | BestSensors=23 (corner=8)
[Profile Gen 043] fitness=1.823s | selection=0.000s | repro=1.224s (crossover=0.217s, mutation=1.006s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.149s | prefix=0.099s | score=0.009s | pop=100 

[Gen:044/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.6, max=45) | BestSensors=23 (corner=8)
[Profile Gen 044] fitness=1.825s | selection=0.000s | repro=0.553s (crossover=0.240s, mutation=0.312s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:045/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.5, max=45) | BestSensors=23 (corner=8)
[Profile Gen 045] fitness=1.360s | selection=0.000s | repro=1.032s (crossover=0.257s, mutation=0.774s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.147s | prefix=0.096s | score=0.009s | pop=100 

[Gen:046/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.7, max=45) | BestSensors=23 (corner=8)
[Profile Gen 046] fitness=1.758s | selection=0.000s | repro=1.117s (crossover=0.214s, mutation=0.902s) | calls: crossover~100, mutation~70.0
